Prefix              Addresses Status
2.57.0.0/22         1024      reserved
2.57.236.0/22       1024      reserved
31.12.72.0/22       1024      reserved
45.9.20.0/24        256       reserved
45.13.24.0/22       1024      reserved
45.133.240.0/22     1024      reserved
77.247.192.0/21     2048      reserved
78.31.165.0/24      256       reserved
82.215.64.0/23      512       reserved
82.215.70.0/23      512       reserved
82.215.76.0/24      256       reserved
82.215.84.0/24      256       reserved
83.97.72.0/21       2048      reserved
84.38.240.0/20      4096      reserved
85.193.76.0/22      1024      reserved
87.236.32.0/21      2048      reserved
91.193.52.0/22      1024      reserved
91.198.241.0/24     256       reserved
91.199.2.0/24       256       reserved
91.203.106.0/24     256       reserved
91.206.28.0/23      512       reserved
91.206.94.0/23      512       reserved
91.208.6.0/24       256       reserved
91.208.32.0/24      256       reserved
91.208.59.0/24      256       reserved
91.208.77.0/24      256       reserved
91.208.136.0/24     256       reserved
91.208.204.0/24     256       reserved
91.209.140.0/24     256       reserved
91.209.161.0/24     256       reserved
91.209.225.0/24     256       reserved
91.212.33.0/24      256       reserved
91.212.121.0/24     256       reserved
91.213.73.0/24      256       reserved
91.213.235.0/24     256       reserved
91.216.57.0/24      256       reserved
91.216.98.0/24      256       reserved
91.216.104.0/24     256       reserved
91.216.120.0/24     256       reserved
91.216.171.0/24     256       reserved
91.216.210.0/24     256       reserved
91.217.50.0/23      512       reserved
91.217.118.0/23     512       reserved
91.217.195.0/24     256       reserved
91.217.200.0/24     256       reserved
91.217.207.0/24     256       reserved
91.217.211.0/24     256       reserved
91.217.215.0/24     256       reserved
91.217.223.0/24     256       reserved
91.218.36.0/24      256       reserved
91.220.226.0/24     256       reserved
91.223.116.0/24     256       reserved
91.223.119.0/24     256       reserved
91.223.131.0/24     256       reserved
91.223.194.0/24     256       reserved
91.224.164.0/23     512       reserved
91.227.27.0/24      256       reserved
91.227.77.0/24      256       reserved
91.228.10.0/24      256       reserved
91.228.186.0/23     512       reserved
91.229.180.0/24     256       reserved
91.230.212.0/24     256       reserved
91.234.48.0/24      256       reserved
91.234.145.0/24     256       reserved
91.235.170.0/23     512       reserved
91.235.204.0/22     1024      reserved
91.236.230.0/23     512       reserved
91.237.43.0/24      256       reserved
91.238.62.0/24      256       reserved
91.239.23.0/24      256       reserved
91.239.218.0/23     512       reserved
91.239.240.0/24     256       reserved
91.240.245.0/24     256       reserved
91.243.114.0/24     256       reserved
91.245.221.0/24     256       reserved
91.246.30.0/23      512       reserved
92.42.0.0/21        2048      reserved
93.95.24.0/21       2048      reserved
93.95.208.0/21      2048      reserved
109.197.165.0/24    256       reserved
141.98.208.0/22     1024      reserved
176.124.249.0/24    256       reserved
185.5.128.0/22      1024      reserved
185.16.251.0/24     256       reserved
185.23.111.0/24     256       reserved
185.28.116.0/22     1024      reserved
185.32.68.0/22      1024      reserved
185.37.10.0/24      256       reserved
185.43.144.0/22     1024      reserved
185.46.68.0/22      1024      reserved
185.53.248.0/22     1024      reserved
185.65.104.0/22     1024      reserved
185.80.88.0/22      1024      reserved
185.84.224.0/22     1024      reserved
185.91.124.0/22     1024      reserved
185.94.30.0/24      256       reserved
185.101.36.0/22     1024      reserved
185.102.84.0/22     1024      reserved
185.113.8.0/22      1024      reserved
185.119.196.0/22    1024      reserved
185.131.204.0/22    1024      reserved
185.135.44.0/22     1024      reserved
185.136.132.0/22    1024      reserved
185.137.96.0/22     1024      reserved
185.137.159.0/24    256       reserved
185.139.4.0/22      1024      reserved
185.144.112.0/22    1024      reserved
185.160.204.0/22    1024      reserved
185.161.248.0/22    1024      reserved
185.164.160.0/22    1024      reserved
185.171.160.0/22    1024      reserved
185.188.28.0/22     1024      reserved
185.207.20.0/22     1024      reserved
185.216.13.0/24     256       reserved
185.217.4.0/22      1024      reserved
185.218.204.0/22    1024      reserved
185.221.60.0/22     1024      reserved
185.224.28.0/22     1024      reserved
185.228.56.0/22     1024      reserved
185.229.132.0/22    1024      reserved
185.235.145.0/24    256       reserved
185.242.179.0/24    256       reserved
185.251.14.0/24     256       reserved
185.252.84.0/22     1024      reserved
185.253.59.0/24     256       reserved
192.109.206.0/24    256       reserved
192.160.10.0/24     256       reserved
193.8.95.0/24       256       reserved
193.17.40.0/24      256       reserved
193.17.205.0/24     256       reserved
193.17.228.0/24     256       reserved
193.19.98.0/23      512       reserved
193.22.128.0/22     1024      reserved
193.27.9.0/24       256       reserved
193.28.186.0/24     256       reserved
193.29.226.0/23     512       reserved
193.30.116.0/24     256       reserved
193.30.126.0/23     512       reserved
193.33.34.0/23      512       reserved
193.33.104.0/23     512       reserved
193.33.156.0/23     512       reserved
193.34.201.0/24     256       reserved
193.38.32.0/22      1024      reserved
193.41.204.0/24     256       reserved
193.41.238.0/24     256       reserved
193.46.185.0/24     256       reserved
193.53.0.0/24       256       reserved
193.84.100.0/22     1024      reserved
193.84.179.0/24     256       reserved
193.93.180.0/22     1024      reserved
193.96.236.0/24     256       reserved
193.99.153.0/24     256       reserved
193.99.249.0/24     256       reserved
193.101.167.0/24    256       reserved
193.101.180.0/23    512       reserved
193.102.74.0/24     256       reserved
193.102.208.0/24    256       reserved
193.103.164.0/24    256       reserved
193.104.53.0/24     256       reserved
193.104.56.0/24     256       reserved
193.104.143.0/24    256       reserved
193.105.29.0/24     256       reserved
193.105.129.0/24    256       reserved
193.105.172.0/24    256       reserved
193.109.56.0/23     512       reserved
193.109.62.0/23     512       reserved
193.109.209.0/24    256       reserved
193.109.219.0/24    256       reserved
193.111.47.0/24     256       reserved
193.111.88.0/24     256       reserved
193.111.136.0/21    2048      reserved
193.111.172.0/24    256       reserved
193.111.236.0/24    256       reserved
193.142.212.0/24    256       reserved
193.162.35.0/24     256       reserved
193.163.170.0/24    256       reserved
193.176.96.0/21     2048      reserved
193.194.137.0/24    256       reserved
193.200.154.0/24    256       reserved
193.200.190.0/24    256       reserved
193.201.112.0/23    512       reserved
193.222.108.0/24    256       reserved
193.228.1.0/24      256       reserved
193.238.84.0/24     256       reserved
193.239.176.0/23    512       reserved
193.242.117.0/24    256       reserved
193.242.125.0/24    256       reserved
193.242.167.0/24    256       reserved
193.243.185.0/24    256       reserved
194.0.177.0/24      256       reserved
194.0.179.0/24      256       reserved
194.0.194.0/24      256       reserved
194.0.220.0/24      256       reserved
194.1.145.0/24      256       reserved
194.1.208.0/24      256       reserved
194.6.253.0/24      256       reserved
194.9.6.0/23        512       reserved
194.11.247.0/24     256       reserved
194.15.45.0/24      256       reserved
194.26.132.0/24     256       reserved
194.30.171.0/24     256       reserved
194.31.250.0/23     512       reserved
194.48.198.0/23     512       reserved
194.48.200.0/22     1024      reserved
194.48.211.0/24     256       reserved
194.48.242.0/24     256       reserved
194.48.255.0/24     256       reserved
194.50.48.0/24      256       reserved
194.50.54.0/24      256       reserved
