Prefix              Addresses Status
194.50.153.0/24     256       reserved
194.53.175.0/24     256       reserved
194.54.144.0/22     1024      reserved
194.59.247.0/24     256       reserved
194.76.231.0/24     256       reserved
194.88.11.0/24      256       reserved
194.99.64.0/23      512       reserved
194.106.206.0/23    512       reserved
194.107.126.0/24    256       reserved
194.110.0.0/24      256       reserved
194.110.207.0/24    256       reserved
194.110.239.0/24    256       reserved
194.116.208.0/23    512       reserved
194.116.226.0/23    512       reserved
194.126.129.0/24    256       reserved
194.139.30.0/24     256       reserved
194.140.247.0/24    256       reserved
194.145.115.0/24    256       reserved
194.145.119.0/24    256       reserved
194.145.147.0/24    256       reserved
194.146.123.0/24    256       reserved
194.153.216.0/24    256       reserved
194.169.202.0/24    256       reserved
194.173.169.0/24    256       reserved
194.180.159.0/24    256       reserved
195.3.160.0/22      1024      reserved
195.5.104.0/23      512       reserved
195.5.166.0/24      256       reserved
195.5.190.0/24      256       reserved
195.8.46.0/24       256       reserved
195.8.107.0/24      256       reserved
195.14.9.0/24       256       reserved
195.14.98.0/23      512       reserved
195.14.104.0/24     256       reserved
195.24.232.0/23     512       reserved
195.35.100.0/24     256       reserved
195.38.19.0/24      256       reserved
195.60.88.0/24      256       reserved
195.60.94.0/24      256       reserved
195.62.50.0/23      512       reserved
195.66.96.0/24      256       reserved
195.82.138.0/23     512       reserved
195.85.44.0/24      256       reserved
195.85.195.0/24     256       reserved
195.85.203.0/24     256       reserved
195.85.225.0/24     256       reserved
195.85.233.0/24     256       reserved
195.85.249.0/24     256       reserved
195.88.208.0/23     512       reserved
195.93.226.0/23     512       reserved
195.93.252.0/23     512       reserved
195.95.133.0/24     256       reserved
195.114.124.0/23    512       reserved
195.128.143.0/24    256       reserved
195.130.201.0/24    256       reserved
195.137.177.0/24    256       reserved
195.137.230.0/23    512       reserved
195.138.197.0/24    256       reserved
195.138.217.0/24    256       reserved
195.144.24.0/24     256       reserved
195.170.186.0/24    256       reserved
195.177.254.0/23    512       reserved
195.182.16.0/24     256       reserved
195.182.33.0/24     256       reserved
195.189.156.0/23    512       reserved
195.226.219.0/24    256       reserved
195.234.154.0/24    256       reserved
195.245.198.0/24    256       reserved
195.248.90.0/24     256       reserved
212.102.123.0/24    256       reserved
217.18.80.0/20      4096      reserved
217.20.252.0/22     1024      reserved
217.197.96.0/20     4096      reserved
193.242.180.0/23    512       available
Number of /24 available for future allocation: 577
